rule_id,category,rule_type,description,threshold_value,unit,evaluation_period,action_type,priority,auto_check,notes
LM001,公平性,weekend_distribution,土日祝勤務の偏り上限,30,%差,月次,警告→自動調整,MEDIUM,TRUE,特定スタッフの土日勤務が平均の1.3倍を超えない
LM002,公平性,preferred_shift_ratio,希望シフト反映率の最低基準,70,%,月次,改善提案,MEDIUM,TRUE,全スタッフの希望を70%以上反映
LM003,公平性,total_hours_variance,総労働時間のばらつき,20,%,月次,調整提案,LOW,TRUE,希望時間に対する実働のばらつき
LM004,健康管理,consecutive_days_soft,推奨連続勤務上限,5,日,随時,警告,MEDIUM,TRUE,6日以上は要承認
LM005,健康管理,consecutive_days_hard,絶対連続勤務上限,12,日,随時,自動却下,HIGH,TRUE,13日以上は不可
LM006,健康管理,monthly_overtime_warning,月間残業警告ライン,30,時間,月次,警告通知,MEDIUM,TRUE,産業医面談の目安
LM007,健康管理,monthly_overtime_limit,月間残業上限ライン,45,時間,月次,承認必要,HIGH,TRUE,36協定上限
LM008,健康管理,night_shift_interval,深夜勤務後の休息時間,12,時間,随時,自動調整,HIGH,TRUE,深夜勤務後は12時間空ける
LM009,スキル,new_staff_with_senior,新人の単独勤務禁止期間,3,ヶ月,随時,必須ペア設定,HIGH,TRUE,入社3ヶ月はベテランと組む
LM010,スキル,skill_balance_kitchen,調理場の最低スキルレベル,3,レベル,随時,警告,MEDIUM,TRUE,調理場には必ずレベル3以上
LM011,スキル,skill_balance_hall,ホールの最低スキルレベル,2,レベル,随時,警告,MEDIUM,TRUE,ホールには必ずレベル2以上
LM012,チーム,incompatible_pair,相性の悪いペア回避,0,回,随時,自動回避,MEDIUM,TRUE,指定ペアは同時シフトNG
LM013,チーム,training_pair,OJTペア必須期間,1,ヶ月,随時,自動設定,MEDIUM,TRUE,新人は指定トレーナーとペア
LM014,効率,minimum_shift_length,最短シフト時間,3,時間,随時,警告,LOW,TRUE,3時間未満は非効率
LM015,効率,maximum_shift_length,最長シフト時間,9,時間,随時,警告,MEDIUM,TRUE,9時間超は要承認
