forecast_id,year,month,store_id,forecasted_sales,required_staff_count,required_hours,notes
SF202401,2024,1,1,3500000,10,1800,通常営業
SF202402,2024,2,1,3200000,10,1700,短期月
SF202403,2024,3,1,3800000,10,1850,春の繁忙期
SF202404,2024,4,1,3600000,10,1800,新生活需要
SF202405,2024,5,1,3900000,10,1900,ゴールデンウィーク
SF202406,2024,6,1,3400000,10,1750,梅雨時期
SF202407,2024,7,1,4200000,10,2000,夏季繁忙期
SF202408,2024,8,1,4000000,10,1950,夏休み期間
SF202409,2024,9,1,3500000,10,1800,通常営業
SF202410,2024,10,1,3700000,10,1850,秋の需要増
SF202411,2024,11,1,3800000,10,1900,年末商戦準備
SF202412,2024,12,1,4500000,10,2100,年末商戦
