forecast_id,year,month,store_id,forecasted_sales,required_labor_cost,required_hours,notes
SF202401,2024,1,1,3500000,1050000,1800,通常営業・人件費率30%
SF202402,2024,2,1,3200000,960000,1700,短期月・人件費率30%
SF202403,2024,3,1,3800000,1140000,1850,春の繁忙期・人件費率30%
SF202404,2024,4,1,3600000,1080000,1800,新生活需要・人件費率30%
SF202405,2024,5,1,3900000,1170000,1900,ゴールデンウィーク・人件費率30%
SF202406,2024,6,1,3400000,1020000,1750,梅雨時期・人件費率30%
SF202407,2024,7,1,4200000,1260000,2000,夏季繁忙期・人件費率30%
SF202408,2024,8,1,4000000,1200000,1950,夏休み期間・人件費率30%
SF202409,2024,9,1,3500000,1050000,1800,通常営業・人件費率30%
SF202410,2024,10,1,3700000,1110000,1850,秋の需要増・人件費率30%
SF202411,2024,11,1,3800000,1140000,1900,年末商戦準備・人件費率30%
SF202412,2024,12,1,4500000,1350000,2100,年末商戦・人件費率30%
